ɂah,snowshoe
enı̀ı̨tǫ k'e wheɂǫǫ,doorknob
enı̀ı̨tǫ k'e wheɂǫǫ ladlı̀,padlock
enı̀ı̨tǫ k'e whelaa,doorknobs
enı̀ı̨tǫ k'èdı̀ı dǫǫ̀,entrance guard; bouncer
enı̀ı̨t'ı,be closed off (with curtains)
enı̀ı̨t'ıı,curtains
enı̀ıts'eechı,close the door; window; cupboard
enı̀ıts'eehdzè,tar up the entrance
enı̀ıts'eewa,"close doors, shutters; block entrance"
enı̀ı̨xàekè,(door) open by itself repeatedly
enı̀ı̨xàetı̨̀,(door) open
enı̀ı̨xàetı̨̀,(door) open repeatedly
enı̀ı̨xàı̨la,(doors) be open; (stores) be open for business
enı̀ı̨xàı̨tǫ,(door) be open; (store) be open for business; be accessible
enı̀ı̨xàı̨tł'ı,the doors fell out; blown out
enı̀ı̨xàts'eechı,open the door
enı̀ı̨xàts'eewa,open doors; windows; shutters
enı̀ı̨xàts'eezhı̀ / enı̀ı̨xàts'eezı̀,break down the door; break and enter
enıı̀yah,be strange; be amazing; be shocking; be a miracle
enıı̀yah hohtsı̨ı̨ dǫǫ̀,miracle worker
enı̀kàts'eechı,open the door
enı̀kàts'eechı / enı̀hàts'eetsı,open a door
enı̀kàts'eetı̨̀,open
enı̀kàts'eetsı,open the door
enı̀kàts'eezı̀,break in
enı̀kàts'eezhı̀,break in
enı̀nı̀ı̨ɂa,(door) is bolted
enı̀ts'eechı,close the door
enıts'eetł'ò,be tough; not give in to pain
enı̀ts'eetsı,close the door
enı̀xàts'eechı,open the door
enı̀xàts'eetı̨̀,open
enı̀xàts'eetsı,open the door
enı̀xàts'eezı̀,break in
enı̀xàts'eezhı̀,break in
enı̀-,closed
enǫgòo,maggots in caribou hide
enǫgòò,larva on the back of caribou hides
enǫhgò,stomach of caribou which is long and fatty (used to stuff lacy fat in)
enǫhgòwò,caribou intestine
enǫhgòwò,caribou stomach bag
enoko,old man; old person
enǫ̀kwah,bone flesher tool
enǫkw'ǫǫ̀,backbone of caribou or moose
enǫ̀la,women's short axe
Enǫ̀ǫ̀da,Trout Rock
enǫǫghǫ,backbone
enǫt'e,finish; quit
enǫǫzıı̀,spinal cord
enǫǫzhıı̀,spinal cord
enda,live
Endà,Cree; southern native person
endı̀-le,be greedy
erezhıı,thunder
erezhıı k'oò,thunder clouds
esade,have a bad experience; have something bad happen; get hurt
esagode,something bad happens
esagodı,be a sound
esagǫ̀ht'e-le,be fine situation; be nothing amiss
esanı̀le,be okay; be all right
esats'edı,say something
età,dad; father
Età,Father
etaàts'ehtı,interpret or translate
etats'eedà,go home regularly (one person)
etaehtı,interpret; translate
etats'eetła,go home (one person)
etats'eɂà,take home (chunky object)
etats'eeɂah,take home (cloth object)
etats'eechı,take home (single object)
etats'eèda,be cute; be pretty
etats'eedè,go home (plural)
etats'eehtè,take home (animate object)
etats'eehxe,pack home (heavy object)
etats'eekà,take home (plateful)
etats'eele,take home (plural objects)
etats'eetı̨,take home (rigid object)
etats'eetsı,take home (single object)
etats'eewa,take home (many things)
eteèɂı̨,pity; take pity; be kind
eteèt'ı̨,be poor; be pitiful; be miserable
eteetła,leave for some destination (one person)
etets'aatłe,going to a destination (one person)
etegoòt'ı̨,be pitied; be in poor condition; in misery
etegǫ̀ts'eedı,lead by the hand
etegòts'eedı,lead by the hand
etehoèt'ı̨,be poor situation; be pitiful conditions; be miserable situation
etehoòt'ı̨,be pitied; be in poor condition; in misery
etenèɂı̨,pity; take pity; be kind
etenèt'ı̨,be poor; be pitiful; be miserable
etets'eèɂı̨,be kind to; take pity on; be merciful to
etı̨,freeze; congeal
etı̨ı̨̀ ats'ehɂı̨,freeze
etǫ,trail; path
etǫ̀,hold
etǫ nı̨ɂà,(trail) extend
et'à,cut
et'àɂı̨̀ɂ,gun sight bead
Et'aa got'ı̨ı̨̀,Rae Lakes people
et'àagoht'ǫǫ̀,underclothing
et'è,cook; bake; fry
et'è lanı̀ wexèts'eedı̀,burning feeling
et'ı̀,exert oneself; stretch
et'oh,nest
et'òò,breast; teats
et'oòkwǫ̀,brisket; breast meat of caribou
et'ǫ̀tsàa,flower
ts'aatłe,going along (one person); working (machine)
etł'à,rump
etł'a whetǫǫ,keel of boat
etsaa,cache; storage place
etse,cry
etsè,tail
etsèkw'ǫǫ̀,tail bone
etsı̀,awl
etsı̨̀,pounded meat
etsı̨̀hta,caribou nose meat from around the eyes
etsı̨̀htagòo,larva in caribou hide
etsı̨̀ı̨lı̨ı̨,spoon
etsı̨̀ı̨lı̨ı̨,outflow of a lake; place where a river flows out of a lake
etsı̨̀ı̨lı̨ı̨ netsà-lı̨ą,small spoon / teaspoon
etsı̨̀tłe,pemmican
etsı̨̀wò,pemmican bag
etsǫ,caribou in mating season (October)
etsoò,Expression of amazement; my!; overdone
etsǫǫ̀,bait
etsǫǫ̀,rib area; flank
etsǫǫdzıı̀,punkwood
etsǫǫjıı̀,punkwood
etsǫǫ̀kw'ǫǫ̀,rib bones
etsǫzı̀,lacy fat around the stomach; caul fat
ets'ach'ı̀ı̀,tendon
ets'adàakǫ̀à,porch
ets'àdaedıı,witness
ets'adeeɂa,roll over; turn over
ets'aèhmı̨̀,spin
ets'aèhmǫ̀ą,circle; zero
ets'aèhmǫ̀ǫ,circle
ets'aèhts'ı,wind turned; change in wind direction
ets'aèhyı̨̀ą,be round
ets'aetła,turn (one person); rotate (one person)
ets'aetłe,turning (one person); rotating (one person)
ets'agoèɂà,curve around (road); extend around (road)
ets'ahmǫ̀ǫ dahrıa,oval
ets'ahtı̀,small lake letting into a larger lake; side lake
ets'arèhgè <?>,he stirred
ets'ats'eeɂa,turn over; roll over
ets'ats'eet'ah,fly round-trip
ets'ats'ehgo,stir
ets'ats'etła,turn around (one person)
ets'ats'ı̀ı̀,tendon
ets'awheɂa,encircle; curve around
ets'ayats'ehtı,talk in circles
ets'èɂǫ̀ǫnèe,on the other side
ets'edı̀-le,be greedy
ets'edzı,play handgames
ets'èeɂǫ̀ǫneè,other side
ets'eèhkw'ıı-le,really
ets'eèhkw'ǫǫ,hearing
ets'eehsı̀,whistle
ets'eehtà,count
ets'eehtàa wenàowoò xàɂaa,mathematics
ets'eeht'ı,punch; box
ets'eetł'è,write; paint; colour
ets'ehk'è,shoot a gun
ets'elah,sing out
ets'et'oò,paddle
ets'èzıı̀ɂaà whetı̨,lie on the stomach
ets'ıdzı,play hand game
ets'ıdzı,hand game
ets'ıı̀,guts
ets'ıı̀kw'o,hear; listen
ets'ıı̀kw'o,understand
ets'ılah,sing a song of appreciation or love; sing a lullaby
ets'ı̨̀mbàa,white fox
ets'ò,fog
ets'ò datse,be misty
ets'ò ghǫ et'ı̨-le,be foggy
ets'ǫdaà,opening; entrance; doorway
ets'ǫ̀doò,(raise) up
ets'ǫ̀nèe,in the past
ets'òo,kidney
ets'òo,fog; mist
ets'ǫ̀ǫdoo,lay boat out of water
ets'òok'a,kidney fat
ets'ǫ̀zhıı̀ɂa,be up side down; face down
ets'ǫ̀zhıı̀ɂaà,upside down
ewaà,sand; gravel
Ewaà Ehda,White Beach Point
Ewaà Kwı,Russell Channel
ewaà tabàa,beach
ewaà whetł'ı̀ı,sandpit
ewaàsı̀ı̀,sand hill
ewaàshı̀ı̀,sand hill
ewahga <?>,middle netting of sn
ewàkwe,sandstone
ewalıı̀,tongue
ewarıı̀,tongue
eweè gokwǫ̀ ta nıɂà,duct
eweèlı̨ı̨,people about to die
eweèt'ı̨ı̨̀,murderer; killer; wicked person
ewı̨,ghost
ewı̨,like; hunger for; like to do; have the habit of; love
ewò,caribou hide
ewòò,liver
ewǫ,be softened
ewò eghǫǫ,tanned hide; softened caribou hide; white hide; new hide
ewò ewoo,scraped hide; softened hide
ewò ewǫǫ,tanned hide; softened caribou hide; white hide; new hide
ewò tł'ǫhbàa,caribou hide tent
ewò ts'ehwhe,soften hide; treat hide before tanning
ewò ts'ehwhee,the process of tanning hides
ewòbàa,white hide
ewòbàa,tanned hide (not smoked)
ewòhɂeh,hide jacket
ewòhke,hide slippers
ewohkwǫ̀,meat from the thigh and buttocks of caribou
ewònı̨hbàa,hide tent
eya,sore; sick; aching; hurt
eya ts'ı̀hłè,become ill
eya ts'ı̨ı̨lı̨,be sick
eya ts'ǫ tàda,germs
eyaelı̨,be sick
eyakǫ̀,hospital
eyats'ı̀ı̀hłè,become sick
eye,be itchy
eye,drum
eyè,egg
eyè hołèe k'è,ovaries
eyè hołèe k'è gokaà,ovarian cysts
eyè hòt'a bebı̀a ı̀hłè ha dı̀ı̀-le,ovulation
eyè lanı̀,oval
eye ts'ehxà,drum; play the drum; beat the drum
eyè yı̀ı kàetła,hatch
eyechı̨ı̨̀,drumstick
eyeechı̨ı̨̀,drum frame
eyeèkwǫ̀,"brisket; stomach meat, made into drymeat"
eyeetsı̨ı̨̀,drum frame
Eyègǫh Zaà,June
Eyègǫhsa,June
eyèhk'ǫǫ̀,egg carton
eyèhkw'ǫǫ̀,egg shell
eyèhkw'ǫǫ̀ yı̀ı xàetłah,hatch
eyèhtǫ,egg carton
eyètł'ıı̀,fallopian tube
eyètł'ıı̀ nàt'àa,tubal ligation
eyetsı̨ı̨̀,drumstick
eyı,that; that one; it
eyı,there
eyı hàanı t'à,that is why
eyıɂǫ̀ǫ̀,past that; more than that
eyıèkwǫ̀,"brisket; stomach meat, made into drymeat"
eyıgà,and then; besides that; after that
eyıgots'ǫ,and; and then
eyıı̀le,other; another
eyıı̀-le ts'ı̀hchıı ha hòɂǫǫ,options
eyık'èè,after that
eyıt'à,therefore; so; because of that
eyıtł'axǫǫ,afterwards; after that; and then; next
eyıts'ıhɂǫ̀,because of that; on account of that
eyıts'ǫ,and; and then
eyıts'ǫ̀,up to there; up to that point
eyıts'ǫ ayı̀ı,what else?; what then?
eyıts'ǫɂǫ̀,because of that; on account of that
eyıxè,and with that
eyı-le,other; another
eyı-le nèk'e,other countries
eza,sore; sick; aching; hurt
ezaelı̨,be sick
ezı̨,crazy; nuts; retarded
ezı̨elı̨,be retarded; be mentally disabled
ezı̨ı̨̀,ghost
Ezǫdzęę̀,Halloween; All Saints' Day
Ezǫdzęę̀ Zaà,November
ezǫǫ̀,ghost
Ezǫǫ̀ Tı̀,Ghost Lake
ezha,sore; sick; aching; hurt
èzha elı̨,be sick
ezhaelı̨,be sick
ezhı̨,crazy; nuts; retarded
ezhı̨elı̨,be retarded; be mentally disabled
ezhı̨ı̨̀,ghost
ezhıkwı̀t'a,nod one's head
ezhı̨ne,crazy; nuts; retarded
Ezhǫdzęę̀ Zaà,November
ezhǫǫ̀,ghost
Ezhǫǫ̀ Tı̀,Ghost Lake
gà,besides; and
Gąą̀,Cain
gaamı̨ı̨,leading action; responsible for action taken by others; influential for
gagoo,swan
gagoo weèhdà t'è,swan
gah,rabbit
gah etǫ,rabbit trail
gahcho,hare
gahghòa,"baby teeth (the first two); ""bunny teeth"""
gahkè,rabbit foot
gahkeè k'è,rabbit tracks
gahkwǫ̀,rabbit meat
gahmı̨̀,snare for rabbits
gahtso,hare
gahts'òò,rabbit blanket
gahwò,rabbit skin
gahwò ts'ò,rabbit skin blanket
gahwòhɂeè,rabbit coat
gahwhe,be running (plural objects); be moving (plural objects); be in operation (plural objects)
gahzaa,baby rabbit
gahzhaa,baby rabbit
Galıleetı̀,Galilee (lake)
Gamę̀ Dıı̀,Hudson Bay Island in Rae
Gamèdıı̀ Tı̨lıı̀,street in Rae named after one of the first residents on the island
Gamètı̀,Rae Lakes
ganıelı̨,be threatening
geèhdı hǫt'e <?>,he has plenty (??)
geèhdzǫ,already
geh,poker; cooking stick; cane
gehǫǫzǫǫ,understanding (old word)
gehǫǫzhǫǫ,understanding (old word)
gıdaànı̀ı̨la,be locked up (plural)
gıghàà nayaetıı dǫǫ̀,jury
gıghǫ kàgeèchı̀,they stole/took from him
gık'eadlı,they froze; they got very cold
gok'èè ts'adè,following (plural); going after (plural); walking behind (plural)
gık'èedè,follow (plural); go after (plural); walk behind (plural)
gık'enahoehde,they travelled on it (again?)
gıtaàts'eele,pass out to them (money; clothes)
gıtàzhǫ,Godparents
gıtł'aà nàyaetıı dǫǫ̀,jurors
gıwàts'eedı,feed them (people; dogs)
gıxè sıı̀gots'ı̨̀ı̨̀là ı̨lè,we took care of the matter with them
gıxoedı ha hǫt'e,they will be watched
gıxoehdı ha hǫt'e,they will monitor it
go k'òmǫɂ dèhshǫ,caterpillar
goɂà,hip
goɂàà,hip
goɂàdè,hip
goɂàkw'ǫǫ̀,hip bones
goɂeh,uncle; father-in-law; stepfather (polite word for an older man)
goɂı̨ı̨̀,behind a place; in the shelter of
goɂı̨̀ı̨,behind a place; in the shelter of
gòɂǫ,be situated; (area) is located
goɂǫhdaà,oldest member of the family; elders
goɂǫhdaà,our elders
goɂǫǫ̀,past a location; further
goɂǫ̀ǫ̀ whelaa,leftovers (more than we need)
goɂǫ̀ǫ̀ xàɂaa,chicken pox
goɂǫǫ̀nè,outside (a location)
gòa,rice
goàgı̨ą,friend
Gǫąh Tı̀,Sarah Lake
Goahde-a dahwhǫ nı̨dè nàxılà ı̨dòo aahłe.,"If you want to talk, please raise your hand."
goamı̨ı̨,leading action; responsible for action taken by others; influential for
goba,older sister
gobaa,dawn
gobaa gòlè,it is early morning light; it is dusk
gobò,stomach; belly; tummy; abdomen; mid-section of body
gobò,stomach; lower abdomen
gobò dàgoòɂǫ,be full; have a full stomach
gobò eya,stomach is painful; stomach aches
gobò eya,stomach ache
gobò tł'a gokaà,stomach ulcer
gobò tł'a tıłı̨ı̨,bile
gobò wetǫǫ̀ etłı̀ nawheɂa ı̨̀ghàa,peritonitis
gobò yı̀ı gokaà,ulcers
gobòhdǫ,stomach
gobòhdǫ tıłı̨ı̨,stomach acid
gobòhdǫ ts'ǫ,gastric
gobòhdǫ yı̀ı gokaà,peptic ulcer
gobòkw'ıa,navel; belly button; umbilicus
gobòt'àà,stomach lining
gochàa,grandchild of a woman; daughter-in-law of a woman; son-in-law of a woman
gocheekeè,helper; follower; disciple; apostle; servant; official; associate
gochèkw'ǫǫ̀,tail bone
gochı,younger brother
gochı̨̀ą,penis
gochı̨̀hta,nasal cavities
gochı̨̀t'a,back
gocho,ancestors; forbears
gochǫ,womb; uterus
gochoke,mukluks; heavy moccasins
gochǫǫ̀,flank; side of body; rib
gochǫǫ̀ yı̀ı eyè dehshee,embryo
gochǫǫ̀ yı̀ı t'ası̀ı dehshee,fibroids
gochǫǫ̀hgoò,diaphragm
gochǫǫ̀kw'ǫǫ̀,ribs; rib bones
gochǫt'à,womb
goch'à,away from us; against us/them
goch'ı̀ı̀,muscle; tendon; ligament
goda gòɂǫ,(area) is reserved for
goda wheɂǫ,(thing) is reserved for
godaà,in front of; in the presence of
godàà,behind
godąą,mouth area; lips
godaà,eye; eyesight; presence
godaà edaa,eye twitch
godąą eèk'ǫ̀,cold-sore
godaà ełets'ǫ̀ whelaa,crossed eye
godaà eya,eye pain; eye ailment
godaà gha nàèdı k'èezǫǫ,eye doctor
godaà gha nàèdı k'èezhǫǫ,eye doctor
godaà k'aehtaa dǫǫ̀,eye doctor
godaà k'è gots'eedı̀ı,amblyopia
godaà k'ets'ehłaa,goggles
godaà ło lanı̀,astigmatism
godaà nàtso-le,lazy eye
godaà tàda,glaucoma
godaà tsı̨̀dıı̀tł'ò,have a black eye
godaà weka etłı̀ wenı̨ı̨dàà xègaat'ı̨ı̨,cornea
godaà wek'aàchı̨ı̨,iris
godaà yı̀akw'o,have something in the eye
godaàgeè,bug-eyes; staring wide-eyed
godaànı̀ı̨la,be shut in; be jailed; be locked up (plural)
godaànı̀ı̨tǫ / godaàtǫ,be locked in
gòdaat'ı̨,beautiful place
godaàtłe,eye ointment
godaàtsı̨̀godaètł'ò / godaàtsı̨̀godaàtł'ò,having a black eye
godaats'ǫ̀ geeda,out-live us; they live on after we die
godąąyı̨̀ı̨,soul
godąązı̨̀ı̨,soul
godaàzhı̀ı,breath
godąązhı̨̀ı̨,soul
godą̀ązhı̀ı gha k'aàt'ı̀ı ats'et'ı̨̀ı̨,spiritual healing
godàèhzà,putting baby on the back; for purpose of carrying it.
godàgode,he talks back to us/them
godaghà,beard; moustache
godanı̀ɂà,he sends us (singular); he placed something for us/them
godanı̀le,he sends us (plural)
godawheda,he waits for us (one person); he babysits for us/them (one person)
godaxànıhoowo / godaxànıewo,receive kindness or favor
godayaneyı̨,soul
godayanezhı̨,soul
godè,younger sister
godè,mold
godèe,back in time; behind in space
godę̀ę wohgwı̨,giant owl
godę̀ęcho,giant
godę̀ętso,giant
godeh,screw (tool); drill (tool)
godeh kw'ıèɂaa,screwdriver
godehchı̨ı̨̀,screwdriver
godehkoò,phlegm
godehtǫ,toolbox
godehtsı̨ı̨̀,screwdriver
godı̀,be alive
godı,story; news
godı enı̨htł'è,story book; newspaper
godı xàeta ts'ǫ̀ k'àowo,principle investigator
godıhohłè,be destroyed
godıı̀,food; bait; feed
godıı̀ gots'ǫ̀ agehɂı̨,they report to us
godoeze,given above the need/ head; given more than we need
godohtł'ıı̀,blood vessel; vein
godoo,above; beyond
godoò,blood
godǫǫ̀,husband
godoò at'ı̨,bleed
godoò degoo,white blood cells
godoò dek'oo,red blood cells
godoò ı̀chıı,taking blood; withdrawing blood
godoò k'etł'òo,circulatory system
godoò ta ek'a,cholesterol
godoò ta oxygen ayehɂı̨,hemoglobin
godoò ta sı̀ga łǫ,hyperglycemia
godoò ta sı̀ga tàda,diabetes
godoò ta sı̀ga whı̀le,hypoglycemia
godoò tàda,leukemia
godoò tàda wet'à gokwǫ̀ta dèhtł'è,cyanosis
godoò tsı̨èht'e,blood clot
godoò tsı̨èht'è-le tàda,hemophilia
godoò xàɂaa,blood types
godoòch'ı̀ı̀,blood vessel; vein
godoòłı̨ı̨,blood poisoning
godoòtı̀ dekwoo,plasma
godoòts'ı̀ı̀,blood vessel; vein
godǫzıı̀,husband
godǫzhıı̀,husband
godzaà,leg; lower limb
godzaà nàetǫ̀ǫ,broken leg
godzadzı̨ą,cartilage
godzage,groin
godzagòkw'ǫǫ̀,kneecap
godzagòo,kneecap; leg bone
godzagòokw'ǫǫ̀,kneecap
godzagòotsoa,kneecap
godzah,esophagus; inside of throat
godzakw'o,behind the knee; back of the knee
godzakw'o,ham (back of knee)
godzakw'ǫǫ̀,leg bone; leg
godzalıı̀,calf (of leg)
godzats'ı̀ı̀,leg ligaments
godzats'ı̀ı̀,tendon
godzats'ıı̀,ligaments
godzaxǫǫ̀,lower leg bone; shin bone
godzazıı̀,marrow
godzazıı̀ / godzazhıı̀,marrows in the legbone
godzeè,heart
godzęę̀,birthday
godzeè eɂa t'à weyı̀ı edoò dàgoòɂǫ at'ı̨̀ı̨,diastole
godzeè eɂaa,heart rate
godzeè eteèɂı̨,be kind
godzeè goowo,angina
godzeè ı̀ɂà,heart attack; heart stop ticking
godzeè ı̨whąą̀ eɂaa,tachycardia
godzeè nàkw'ıı,heart attack
godzeè nezı̨ı̨̀ eɂaà-le,heart murmur
godzeè nı̀ɂà,heart attack; heart stop ticking
godzeè nı̀ı̀tła,cardiac arrest
godzeè t'à nànıts'etı̀,emotional stress
godzeè ts'èwhı̨ą eɂaa,bradycardia
godzeè yı̀ı edoò ı̨daà dexaetł'ı̀ı,systole
godzeèbàa,outer ear
godzeèbàa k'e whelaa,earrings; earmuffs
godzeèmbàa,outer ear
godzeèta,chest area
godzeèwı,thorax
godzehdeè,lung
godzehdeè ı̨̀ghàa,pneumonia; swollen lungs
godzehdeè ı̨̀ghàa,pneumonia
godzehdeè ta dehko dàgoòɂǫǫ,asthma
godzehdeè ta nı̨hts'ı yı̀wòa tsı̨̀ı̨woo,emphysema
godzehdeè tàda,tuberculosis; lung disease
godzehdeè wetǫǫ̀,pleura
godzehdeè weyı̀ı ts'ejı̀ıweè,bronchi
godzehdeè weyı̀ı ts'ejı̀ıweè ı̨̀ghàa,bronchitis
godzehdeè weyı̀ı wet'ahsòa lanıı,alveoli
godzehdeè yı̀ı dehko dàgoòɂǫǫ,wheezing
godzehtł'ıı̀,blood vessels
godzehtł'ıı̀,vein
godzehtł'ıı̀,artery
godzehtł'ıı̀ dàhòtł'ò eɂaa,blood pressure
godzehtł'ıı̀ eɂaa,pulse
godzehtł'ıı̀ hòtł'ò eɂaa,high blood pressure
godzewıı̀kw'è wet'à goehgò nàeda,pectorals major
godzıı̀,ear; hearing
godzıı̀,corner of a structure
godzıı̀ k'e whelaa,earrings; earmuffs
godzıı̀ whı̀le,be deaf
godzıı̀ɂà,be mauled; it (dog) mauls us/them
godzıı̀hkw'ǫ,ear
godzıı̀hkw'ǫǫ̀,inner ear
godzıı̀hkw'ǫǫ̀ eya,earache
godzıı̀hkw'ǫǫ̀ k'agaa kwı̀ghà,sideburns
godzıı̀hkw'ǫǫ̀ k'e whelaa,earmuffs; earphones
godzıı̀hlıa,earrings
godzıı̀hlıı̀,earrings
godzıı̀ht'ǫɂ,ear wax
godzıı̀ht'oò,ear wax
godzıı̀kw'ǫǫ̀ weyı̀ı ı̨̀ghà,otitis media
godzıı̀wıı̀,chest of the body
godzıı̀wıı̀ enı̨htł'èı̀chı̀ı,chest x-ray
godzıı̀wıı̀ enı̨htł'èı̀tsı̀ı,chest x-ray
godzıı̀wıı̀ eya,chest pain
godzıı̀wıı̀ ghak'aı̨ɂaa,sharp chest pain
godzǫ,front of the body
godzǫhtè,apron
goèɂà,(a road) extends
goèch'oo,be pointed
goèdà,chin
goedǫ̀ǫ,son-in-law
goedzıı̀,corner of a structure
gòègoo,be given a needle; have an injection
goeghoo,thick bushes; thicket; brambles
goèhɂaa,stand of trees in a valley
goehgò,joints of the body; shoulder; knee; elbow
goehgò gà yı̀wòa dènı̀ı̨ɂǫǫ,bursa
goehgò gà yı̀wòa dènı̀ı̨ɂǫǫ ı̨̀ghàa,bursitis
goehgò ka gokw'è,deltoid
goehgòdzeè,kneecap; elbowcap; cartilage on kneecap
goèhkw'òa,tiny
goèhłòò,co-wife/husband; lover
goehoo,rival in love
goejıı̀,corner of a structure
goèk'a,light; bright
goek'aa,(area) is light; (area) is bright
goèk'ǫ̀,(area) burn
goèk'ǫ̀ǫ,fire; area of burning
goèkw'ǫǫ̀,jaw
gòet'ı̨,our relatives
gòet'ı̨ı̨̀,family; relatives; cousins
goet'ǫ / goot'ǫ,be messy; disorganized; cluttered
goèts'oo,be pointed
goezǫ,(area) is dark
gogà,beside; near; at (someone's house)
goge,between us/them; located between
gogòh,pig
gogòhk'a,bacon
gogòhkwǫ̀,pork
gogǫ̀hłı̨,be born
gogǫ̀hłı̨ı̨ dzęę̀,day of birth; birthday
gogòhtł'oò,armpit; axilla
gogòò,new (area)
gogǫ̀ǫ̀,arm
gogǫ̀ǫ̀,upper limb
gogǫ̀ǫ̀ k'e whelaa,sleeve bands
gogǫ̀ǫ̀ ts'ǫ ı̨zhıı̀,forearm
gogǫ̀ǫt'à,shoulder blade
gogǫ̀ǫt'àkw'è,trapezius
gogǫ̀ǫt'àkw'ǫǫ̀,shoulder blade
gogòts'è,shoulder; elbow
gogha,for us/them
gogha ehkw'ı ahodı,believe it is true
gogha enı̨htł'è hołè,welfare assistance; welfare cheque
gogha enı̀ı̨xàı̨tǫǫ,access; being open
gogha eya,hurt; be in pain
gogha gòɂǫ,have time for; have room for
gogha godee dǫǫ̀,spokesperson
gogha hòɂǫ,have time for; have room for
gogha hoı̀la,experiencing trouble; we are upset
gogha nàtee,prophet
gogha nezı̨,like
gogha nezı̨-le,dislike; be allergic
gogha ts'ǫhoèt'eh,feel lazy; feel undecided
goghàɂeedı,be given
goghaelı̨,belongs to; it is ours
goghaetła,he meets up with them/us (one person)
goghagoèhzǫǫ,joints of the body
goghagoèhzhǫǫ,joints of the body
goghàhòèt'à / goghàhòt'à,be given (reward; revenge)
goghakah,be prickly; be sharp-pointed; be sharp
goghàts'eedı,"give (food, drink, other liquids, e.g. gas)"
goghàts'eka,give (a plate of food)
goghàzhe,be given to us (plural)
goghǫ,about; concerning; of; because of; from
goghǫ nàedı̀,sell; be bought from
goghòchı̨ı̨̀,gums (of teeth)
goghòchı̨ne,gums
goghǫenè,"lose (in a game); be beaten (by someone, in a game)"
goghǫet'à,be given back
goghǫeze,be forgiven (our sins)
goghoh,thigh
goghǫhk'eè,flank
goghǫhk'eè gokw'è wet'à gogǫ̀ǫ̀ nàedaa,latissimus dorsi
goghohkwǫ̀,gums (of the mouth)
goghohkwǫ̀ ı̨̀ghàa,gingivitis
goghohkw'è,quadriceps
goghoht'à,roof of the mouth
goghòk'ǫ,filling
goghokw'ǫǫ̀,thighbone
gogholıı̀,thigh muscle
goghoò,age; years
goghoò,scar
goghòò,tooth
goghòò datłeè,toothpaste
goghòò eya,toothache
goghòò ghàlaedaa dǫǫ̀,dentist
goghòò hòèlı̨ı̨,false teeth
goghòò ı̨dèe whelaa,back teeth
goghòò ı̨hdzıı,cavity
goghòò ı̨hjıı,cavity
goghòò ka wheɂǫǫ,(dental) crown
goghòò kàlee dǫǫ̀,dentist
goghòò k'aehtaa dǫǫ̀,dentist
goghòò k'enats'ehtse,brush teeth
goghòò nadzèe,tooth filling
goghòò ta dzèh,plaque
goghòò ta k'etł'ıts'eeht'ı̀ı,dental floss
goghòò ta k'ets'ehgoo dechı̨ą,toothpick
goghòò tanı whelaa,front teeth
goghòò wek'eèhdı̀ı,enamel
goghòò wexèts'eedı̀ı,pulp
goghòò weyı̀ı dezhı̀-le,dentin
goghòò xàlee dǫǫ̀,dentist
goghòòchı̨ı̨̀,root (teeth)
goghòò gee tł'ıts'eht'ı̀ı,dental floss
goghòòtsah,missing the two front teeth
goghǫ̀t'à,be given (chunky object)
goghǫ̀t'à / gǫǫ̀t'à,be given us; we get; we receive (singular)
goghǫyahoet'à,be lied to; tricked; cheated
goghǫ̀zhe / gǫǫ̀ze,be given us; we get; we receive (plural)
gògwo,rattle
gǫ̀h,fireweed
gòhɂǫ,have a place; keep a place
gòhchıt'è,red-winged blackbird
gǫhkà,cones of …
gohkąą,child; family
gohkę̀ę,family; kinspeople; children
gohkw'ò,garbage; waste
gòhłè,come into being; be born; becoming
gohłèe,friend
gǫ̀hłı̨,exist; be; have
gohłı̀a,robin
gohłı̀ı,robin
gohòèlı̨ / gohòlı̨,we were made
gohołı̨ı̨̀,sin; sins
gohsah,niece of a man; nephew of a man
goht'ǫ,clothes; movable belongings; gear
goht'ǫ dats'ehłe,hang clothes
goht'ǫ dats'ewa,hang laundry
goht'ǫ dawhelaa k'è,closet
goht'ǫ dawhelaa tł'ıı̀,clothesline
goht'ǫ k'enaɂetsee k'è,laundromat
goht'ǫ ładı̨ı̨ yı̀ı ts'etła,change clothes (one person)
goht'ǫ tł'ıı̀,clothesline
goht'ǫ ts'ehłaa kǫ̀a,closet
goht'ǫ ts'etł'ı̨,weave; knit
goht'ǫ weyı̀ı whelaa,dresser
goht'ǫ yı̀ı nayehtè,put back in clothes; dress again
goht'ǫ yı̀ı ts'etła,get dressed (one person)
goht'ǫch'ıı̀,used clothing
goht'ǫts'ı̀a,rags; ragged clothes
goht'ǫts'ıı̀,used clothing
gòhtsıt'è,red-winged blackbird
gohwhǫǫ,custom; taboo
gohzı̀,ball
gohzı̀goo t'à sǫnàts'edèe kǫ̀,pool room
gohzı̀xàà,baseball bat
gohzoò,sloppy; untidy; not neat; carelessly
gohzhı̀,ball
gohzhı̀goo t'à sǫnàts'edèe kǫ̀,pool room
gohzhı̀ı daehchıı,catcher (ball games)
gohzhı̀ı ehk'aa,pitcher (ball games)
gohzhı̀xàà,baseball bat
goı̨ɂà,was situated; (area) was located
gòı̨ɂà,was the situation; was the order; was in place; the way it was
goı̨chà,be spacious; be roomy; (area) is big
goı̨chąą,nostril
